Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
26710,10,miss,90.024839,9.663566,51.311707,0,151.000112,0
26710,10,miss,87.982203,15.121788,50.342107,0,153.446098,0
26710,10,miss,87.794134,12.168574,50.317242,0,150.27994999999999,0
26710,10,miss,95.47568,17.05688,52.578846,0,165.111406,0
26710,10,miss,91.437554,11.305042,52.048828,0,154.791424,0
26710,10,miss,90.381609,16.589511,51.782024,0,158.753144,0
26710,10,miss,94.538726,13.231394,55.949962,0,163.720082,0
26710,10,miss,92.220169,12.725442,53.328761,0,158.274372,0
26710,11,miss,101.730947,18.605564,58.536207,0,178.87271800000002,0
26710,11,miss,98.099435,15.893585,57.383087,0,171.376107,0
26710,11,miss,97.877092,15.714105,56.190241,0,169.781438,0
26710,11,miss,97.326813,10.205591,55.783182,0,163.315586,0
26710,11,miss,107.734177,12.620071,65.970614,0,186.324862,0
26710,11,miss,99.321224,9.812777,55.603874,0,164.737875,0
26710,11,miss,96.302096,9.687248,55.082103,0,161.071447,0
26710,11,miss,97.128973,17.03876,55.765497,0,169.93323,0
26710,11,miss,87.32917,8.902314,57.222355,0,153.45383900000002,0
26710,11,miss,96.669029,9.923825,55.386107,0,161.978961,0
26710,11,miss,99.192016,10.119857,57.517784,0,166.829657,0
26710,11,miss,97.927524,15.892765,57.282079,0,171.102368,0
26710,11,miss,95.808146,17.985776,56.594645,0,170.388567,0
26710,11,miss,95.74294,9.683373,56.409887,0,161.83620000000002,0
26710,11,miss,100.219806,11.544808,59.63484,0,171.399454,0
26710,11,miss,98.340359,11.146843,58.33056,0,167.81776200000002,0
26710,11,miss,101.792131,10.308621,59.668144,0,171.76889599999998,0
26710,11,miss,96.556993,18.541654,55.900882,0,170.999529,0
26710,11,miss,96.940991,9.617181,57.006924,0,163.56509599999998,0
26710,11,miss,97.574086,15.116543,55.8041,0,168.494729,0
26710,11,miss,98.686619,14.772743,56.169705,0,169.629067,0
26710,11,miss,98.378789,17.932278,56.042988,0,172.35405500000002,0
9939,10,miss,93.482036,9.660214,54.747104,0,157.889354,0
9939,10,soft-hit,91.295277,17.208907,53.78548,162.28966400000002,0,0
9939,10,soft-hit,90.097647,9.11255,52.1011,151.311297,0,0
9939,10,soft-hit,90.076279,9.176893,51.990639,151.243811,0,0
9939,10,soft-hit,91.705502,14.775054,53.317597,159.798153,0,0
9939,10,soft-hit,89.874903,14.749886,52.13711,156.761899,0,0
9939,10,soft-hit,91.224088,32.879906,51.753966,175.85796,0,0
9939,10,soft-hit,88.662242,11.690812,50.973395,151.326449,0,0
9939,10,soft-hit,90.82339,9.47802,52.985436,153.286846,0,0
9939,10,soft-hit,86.412711,7.866601,52.152368,146.43168,0,0
9939,10,soft-hit,86.042362,18.098836,51.121701,155.262899,0,0
9939,10,soft-hit,91.543311,9.689062,51.263996,152.49636900000002,0,0
9939,10,soft-hit,89.134562,17.29687,52.578376,159.00980800000002,0,0
9939,10,soft-hit,89.680596,17.277631,54.154002,161.112229,0,0
9939,10,soft-hit,86.795666,11.972391,51.933189,150.701246,0,0
9939,10,soft-hit,87.459003,13.797019,51.864207,153.120229,0,0
9939,10,soft-hit,87.807672,9.033381,53.109169,149.950222,0,0
9939,10,soft-hit,87.828035,9.452659,51.58753,148.868224,0,0
9939,10,soft-hit,84.578766,13.8436,51.991252,150.41361799999999,0,0
9939,10,soft-hit,88.045822,9.905101,52.550139,150.501062,0,0
9939,10,soft-hit,88.792386,10.777186,52.958773,152.528345,0,0
9939,10,soft-hit,80.049818,11.782669,51.875034,143.70752099999999,0,0
9939,10,soft-hit,90.48165,8.952601,54.640485,154.074736,0,0
9939,10,soft-hit,89.70024,14.609325,51.531961,155.841526,0,0
9939,10,soft-hit,89.946279,21.119825,51.880854,162.946958,0,0
9939,10,soft-hit,88.995249,14.516781,52.269184,155.781214,0,0
9939,10,soft-hit,86.040969,15.991777,51.502434,153.53518000000003,0,0
9939,10,soft-hit,87.349323,9.416012,52.199091,148.964426,0,0
9939,10,soft-hit,89.849643,9.172074,54.24444,153.266157,0,0
9939,10,soft-hit,89.987097,9.434844,54.166015,153.58795600000002,0,0
9939,10,soft-hit,88.979435,8.786662,53.074573,150.84067,0,0
9939,10,soft-hit,90.387775,14.270968,52.518003,157.176746,0,0
9939,10,soft-hit,90.750926,13.18331,53.162446,157.09668200000002,0,0
9939,10,soft-hit,92.210716,10.153543,54.940265,157.30452400000001,0,0
9939,10,soft-hit,90.627553,9.023806,53.226671,152.87803000000002,0,0
9939,10,soft-hit,87.824575,18.057581,52.301148,158.183304,0,0
9939,10,soft-hit,88.867504,13.241471,53.582483,155.691458,0,0
9939,10,soft-hit,90.288593,14.974071,54.901661,160.16432500000002,0,0
9939,10,soft-hit,88.38551,9.363749,53.028523,150.777782,0,0
9939,10,soft-hit,90.181172,18.235248,53.256719,161.673139,0,0
9939,10,soft-hit,90.276333,16.696507,53.738246,160.711086,0,0
9939,10,soft-hit,89.101026,11.187269,52.035593,152.323888,0,0
9939,10,soft-hit,90.419038,9.507838,52.064854,151.99173,0,0
9939,10,soft-hit,90.245017,16.063807,53.258313,159.567137,0,0
9939,10,soft-hit,88.441213,9.207907,52.285715,149.93483500000002,0,0
9939,10,soft-hit,91.628764,8.775846,54.128201,154.532811,0,0
9939,10,soft-hit,92.098795,12.818094,53.42756,158.344449,0,0
9939,10,soft-hit,93.165435,9.200036,54.628238,156.99370900000002,0,0
9939,10,soft-hit,89.827857,11.434948,51.998165,153.26097,0,0
9939,10,soft-hit,90.641318,8.779604,51.859483,151.280405,0,0
9939,10,soft-hit,89.214129,17.64255,51.847679,158.704358,0,0
9939,10,soft-hit,94.192407,9.948074,59.513354,163.65383500000002,0,0
9939,10,soft-hit,88.800757,15.364632,51.998872,156.164261,0,0
9939,10,soft-hit,89.758134,17.262845,52.09343,159.114409,0,0
9939,10,soft-hit,89.99767,9.391197,52.208516,151.597383,0,0
9939,10,soft-hit,89.193985,10.606901,52.255409,152.056295,0,0
9939,10,soft-hit,87.945034,16.297138,53.027753,157.269925,0,0
9939,10,soft-hit,87.050137,11.721332,52.468227,151.239696,0,0
9939,10,soft-hit,88.415258,10.61653,52.483234,151.515022,0,0
9939,10,soft-hit,89.845956,13.635127,53.717685,157.198768,0,0
9939,10,soft-hit,88.133273,10.018123,52.940165,151.091561,0,0
9939,10,soft-hit,89.629645,17.074834,53.413617,160.11809599999998,0,0
9939,10,soft-hit,94.60899,9.163699,58.285761,162.05845,0,0
9939,10,soft-hit,92.076375,39.258339,53.752876,185.08758999999998,0,0
9939,10,soft-hit,81.641321,7.590738,52.587833,141.819892,0,0
9939,10,soft-hit,87.815109,12.966446,53.666477,154.448032,0,0
9939,10,soft-hit,88.27666,14.155158,52.58002,155.011838,0,0
9939,10,soft-hit,87.333589,9.505703,52.452383,149.291675,0,0
9939,10,soft-hit,88.220285,17.43038,52.878364,158.52902899999998,0,0
9939,10,soft-hit,87.413995,9.850339,52.816884,150.081218,0,0
9939,10,soft-hit,89.553815,9.432356,54.240734,153.226905,0,0
9939,10,soft-hit,88.422311,9.897748,53.320017,151.640076,0,0
9939,10,soft-hit,88.477179,9.650654,52.912871,151.040704,0,0
9939,10,soft-hit,88.785278,14.025344,52.73081,155.541432,0,0
9939,10,soft-hit,94.881261,10.862903,59.231309,164.975473,0,0
9939,10,soft-hit,88.468451,8.968612,53.26409,150.701153,0,0
9939,10,soft-hit,88.331191,9.061791,52.874428,150.26741,0,0
9939,10,soft-hit,88.976487,9.000877,54.103474,152.080838,0,0
9939,10,soft-hit,107.061509,20.406817,64.385357,191.853683,0,0
9939,10,soft-hit,88.995553,10.449047,54.145136,153.58973600000002,0,0
9939,10,soft-hit,90.000441,13.573128,55.261593,158.835162,0,0
9939,10,soft-hit,88.072101,10.612413,52.874038,151.55855200000002,0,0
9939,10,soft-hit,88.689173,14.496579,52.919233,156.104985,0,0
9939,10,soft-hit,87.988642,14.455498,53.241982,155.686122,0,0
9939,10,soft-hit,89.867712,16.370385,53.011506,159.24960299999998,0,0
9939,10,soft-hit,89.018223,9.598999,53.9198,152.537022,0,0
9939,10,soft-hit,91.695053,9.51038,56.548664,157.754097,0,0
9939,10,soft-hit,90.683284,10.096733,55.412708,156.192725,0,0
9939,10,soft-hit,90.012589,18.971535,54.472053,163.45617700000003,0,0
9939,10,soft-hit,85.443081,10.16259,54.077723,149.68339400000002,0,0
9939,10,soft-hit,90.411977,9.64169,55.232905,155.28657199999998,0,0
9939,10,soft-hit,92.187225,15.94257,55.591722,163.721517,0,0
9939,10,soft-hit,94.87366,10.934112,57.365237,163.173009,0,0
9939,10,soft-hit,87.959163,16.430392,53.122761,157.512316,0,0
27302,10,miss,89.655337,21.648849,54.743302,0,166.047488,0
27302,10,soft-hit,92.605656,11.756049,57.019114,161.380819,0,0
27302,10,soft-hit,83.141984,13.750319,55.814073,152.70637599999998,0,0
27302,10,soft-hit,117.439009,15.308358,55.454045,188.201412,0,0
27302,10,soft-hit,88.006661,8.237783,55.452321,151.696765,0,0
27302,10,soft-hit,88.593638,10.552538,54.520215,153.666391,0,0
27302,10,soft-hit,90.668603,15.412538,55.164571,161.24571200000003,0,0
27302,10,soft-hit,92.380517,10.660555,56.173022,159.214094,0,0
27302,10,soft-hit,90.243312,8.313452,54.929016,153.48578,0,0
27302,10,soft-hit,89.855752,10.124622,55.000308,154.980682,0,0
27302,10,soft-hit,90.894272,9.701386,55.959702,156.55536,0,0
27302,10,soft-hit,91.952612,18.233012,56.141794,166.327418,0,0
27302,10,soft-hit,89.878957,9.526048,56.617676,156.022681,0,0
27302,10,soft-hit,90.927988,10.293756,55.771441,156.99318499999998,0,0
27302,11,soft-hit,97.784704,11.335206,59.980252,169.100162,0,0
27302,11,soft-hit,99.53749,9.298343,62.275607,171.11144000000002,0,0
27302,11,soft-hit,94.939752,8.99031,57.870419,161.800481,0,0
27302,11,soft-hit,99.605877,8.966709,61.245507,169.818093,0,0
27302,11,soft-hit,97.845546,9.392998,60.557718,167.796262,0,0
27302,11,soft-hit,99.360454,9.340214,61.319234,170.019902,0,0
27302,11,soft-hit,96.160414,17.679187,58.942033,172.781634,0,0
27302,11,soft-hit,95.678532,15.405263,58.975614,170.05940900000002,0,0
